epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7026,1.55163,2.90021,1.76657,0.30103,0.30226,0.22832,0.15288,1.50779,2.37329,1.71936,0.00032971,0.00032971,0.00032971
2,49.8548,1.45073,2.24682,1.643,0.26486,0.34639,0.27821,0.16913,1.48554,2.31067,1.76311,0.000660855,0.000660855,0.000660855
3,75.9615,1.50258,2.20176,1.65391,0.27686,0.25418,0.18495,0.09876,1.67093,2.89629,1.87964,0.000989801,0.000989801,0.000989801
4,100.823,1.4744,2.09586,1.64897,0.41167,0.42142,0.32502,0.17803,1.51621,2.04194,1.74407,0.0009901,0.0009901,0.0009901
5,127.448,1.39626,1.97249,1.60196,0.38427,0.40115,0.31746,0.20104,1.48501,2.37652,1.77379,0.0009868,0.0009868,0.0009868
6,153.548,1.39828,1.92348,1.61744,0.40354,0.41895,0.39101,0.25734,1.37341,1.79456,1.6365,0.0009835,0.0009835,0.0009835
7,178.433,1.38589,1.86625,1.58433,0.44356,0.48099,0.43258,0.29418,1.40343,1.8553,1.66183,0.0009802,0.0009802,0.0009802
8,203.935,1.34319,1.80641,1.5731,0.45471,0.44824,0.40077,0.27816,1.39416,1.79051,1.65799,0.0009769,0.0009769,0.0009769
9,228.057,1.32381,1.78924,1.551,0.49673,0.4076,0.42953,0.29373,1.3535,1.74378,1.62908,0.0009736,0.0009736,0.0009736
10,252.516,1.31886,1.72674,1.55276,0.48676,0.50315,0.44746,0.32604,1.32501,1.67618,1.57021,0.0009703,0.0009703,0.0009703
11,278.259,1.30514,1.68757,1.54,0.49995,0.53586,0.48886,0.34109,1.3072,1.7348,1.57906,0.000967,0.000967,0.000967
12,303.032,1.26878,1.66532,1.52325,0.5116,0.52461,0.47005,0.33463,1.25913,1.58658,1.53275,0.0009637,0.0009637,0.0009637
13,327.696,1.27573,1.62737,1.49584,0.58373,0.43797,0.47067,0.33798,1.24508,1.62041,1.51365,0.0009604,0.0009604,0.0009604
14,352.527,1.25494,1.62167,1.4983,0.55627,0.50963,0.50818,0.36852,1.21286,1.55462,1.51699,0.0009571,0.0009571,0.0009571
15,377.819,1.25331,1.6028,1.49549,0.47569,0.49357,0.46481,0.3355,1.29157,1.71087,1.5487,0.0009538,0.0009538,0.0009538
16,401.214,1.23356,1.56077,1.48275,0.60264,0.45736,0.50465,0.36271,1.24708,1.5348,1.50917,0.0009505,0.0009505,0.0009505
17,425.95,1.21356,1.53385,1.47949,0.54534,0.52239,0.51341,0.37355,1.20386,1.513,1.48182,0.0009472,0.0009472,0.0009472
18,451.55,1.20179,1.49185,1.45115,0.56258,0.56423,0.54957,0.39459,1.24492,1.4332,1.48774,0.0009439,0.0009439,0.0009439
19,477.536,1.18668,1.51556,1.44528,0.5417,0.54006,0.54092,0.39387,1.19536,1.47496,1.4926,0.0009406,0.0009406,0.0009406
20,500.65,1.17311,1.47437,1.43848,0.56206,0.52037,0.5118,0.37903,1.21955,1.46914,1.50798,0.0009373,0.0009373,0.0009373
21,525.138,1.17847,1.46176,1.44116,0.58055,0.52161,0.53948,0.40326,1.19272,1.50389,1.49453,0.000934,0.000934,0.000934
22,551.486,1.18358,1.40058,1.44308,0.58161,0.53628,0.52767,0.38556,1.19905,1.50919,1.48631,0.0009307,0.0009307,0.0009307
23,575.619,1.16849,1.43737,1.41465,0.57591,0.54817,0.54059,0.39346,1.19662,1.465,1.48488,0.0009274,0.0009274,0.0009274
24,598.893,1.16236,1.36356,1.42411,0.50365,0.55203,0.53246,0.39233,1.18775,1.49816,1.47736,0.0009241,0.0009241,0.0009241
25,623.525,1.14589,1.37159,1.41203,0.5741,0.52786,0.54178,0.39154,1.18686,1.42869,1.47168,0.0009208,0.0009208,0.0009208
26,648.288,1.14358,1.40094,1.41358,0.61355,0.51356,0.54861,0.40676,1.18939,1.46939,1.47225,0.0009175,0.0009175,0.0009175
27,673.986,1.11061,1.30059,1.38885,0.6078,0.53355,0.55816,0.40887,1.1689,1.39616,1.47897,0.0009142,0.0009142,0.0009142
28,699.431,1.12296,1.28877,1.39212,0.59901,0.54724,0.56547,0.42256,1.13902,1.45356,1.43884,0.0009109,0.0009109,0.0009109
29,725.36,1.15034,1.36066,1.40789,0.62053,0.58777,0.58134,0.43194,1.18231,1.42114,1.46861,0.0009076,0.0009076,0.0009076
30,751.097,1.13348,1.31234,1.40058,0.58792,0.55552,0.57419,0.4222,1.14299,1.41995,1.436,0.0009043,0.0009043,0.0009043
31,775.651,1.10221,1.3149,1.38545,0.62723,0.55909,0.57889,0.43512,1.14627,1.35639,1.44464,0.000901,0.000901,0.000901
32,801.434,1.0992,1.26075,1.37131,0.58038,0.60577,0.56585,0.41908,1.14827,1.38749,1.45491,0.0008977,0.0008977,0.0008977
33,825.15,1.09871,1.23983,1.37176,0.62492,0.54615,0.58841,0.44446,1.10019,1.29169,1.40114,0.0008944,0.0008944,0.0008944
34,850.943,1.06563,1.23277,1.35337,0.5914,0.59164,0.59019,0.44147,1.13372,1.39745,1.43205,0.0008911,0.0008911,0.0008911
35,875.502,1.10841,1.19874,1.38379,0.58623,0.60384,0.56777,0.42882,1.1401,1.39585,1.44304,0.0008878,0.0008878,0.0008878
36,899.533,1.06551,1.21092,1.34448,0.63523,0.56589,0.59093,0.44147,1.15395,1.4003,1.43019,0.0008845,0.0008845,0.0008845
37,923.53,1.07602,1.23973,1.3658,0.65792,0.56483,0.58754,0.44023,1.13164,1.45213,1.45262,0.0008812,0.0008812,0.0008812
38,948.118,1.05743,1.1779,1.35172,0.63262,0.57322,0.58278,0.44738,1.13277,1.37401,1.41791,0.0008779,0.0008779,0.0008779
39,973.869,1.07146,1.22694,1.36148,0.57038,0.62186,0.59303,0.45382,1.09596,1.31578,1.3899,0.0008746,0.0008746,0.0008746
40,999.071,1.05093,1.20601,1.34655,0.68003,0.56964,0.62282,0.46904,1.11889,1.27248,1.40932,0.0008713,0.0008713,0.0008713
41,1023.96,1.03453,1.16241,1.34778,0.63653,0.56139,0.58715,0.44292,1.11728,1.33226,1.42023,0.000868,0.000868,0.000868
42,1048.6,1.04805,1.1682,1.34137,0.64905,0.6072,0.61884,0.47446,1.08191,1.29177,1.40083,0.0008647,0.0008647,0.0008647
43,1074.54,1.03249,1.14654,1.33143,0.6795,0.56879,0.60625,0.45651,1.08929,1.34218,1.39925,0.0008614,0.0008614,0.0008614
44,1099.56,1.01495,1.13829,1.32289,0.57299,0.61314,0.59951,0.4594,1.09147,1.334,1.41756,0.0008581,0.0008581,0.0008581
45,1123.68,1.02844,1.17041,1.34101,0.5922,0.61089,0.61125,0.46474,1.10604,1.32146,1.43192,0.0008548,0.0008548,0.0008548
46,1148.33,1.02612,1.12951,1.32861,0.62526,0.6047,0.61194,0.46683,1.09626,1.34972,1.40369,0.0008515,0.0008515,0.0008515
47,1173.45,1.02919,1.1579,1.31911,0.57083,0.59162,0.58416,0.43882,1.08743,1.33926,1.40096,0.0008482,0.0008482,0.0008482
48,1197.22,1.03107,1.11702,1.32615,0.69013,0.58965,0.6201,0.47954,1.07973,1.30315,1.39037,0.0008449,0.0008449,0.0008449
49,1223.27,1.01638,1.10908,1.31791,0.59242,0.60817,0.60726,0.46917,1.07828,1.33636,1.39637,0.0008416,0.0008416,0.0008416
50,1248.64,1.00028,1.05583,1.31453,0.61783,0.61871,0.61543,0.4702,1.07744,1.29801,1.39486,0.0008383,0.0008383,0.0008383
51,1274,1.02033,1.09905,1.32461,0.66112,0.57889,0.59832,0.461,1.11541,1.33921,1.412,0.000835,0.000835,0.000835
52,1298.66,1.00953,1.04587,1.30534,0.65147,0.60636,0.60711,0.46496,1.10627,1.34935,1.40615,0.0008317,0.0008317,0.0008317
53,1322.55,1.00056,1.08149,1.31542,0.64504,0.61642,0.61338,0.47188,1.09261,1.25821,1.38984,0.0008284,0.0008284,0.0008284
54,1347.53,1.00564,1.06955,1.31331,0.60817,0.61147,0.59696,0.45813,1.0981,1.33126,1.4118,0.0008251,0.0008251,0.0008251
55,1372.52,1.00427,1.05534,1.30493,0.6665,0.57849,0.60906,0.46882,1.07718,1.29565,1.41805,0.0008218,0.0008218,0.0008218
56,1396.24,0.97114,1.02537,1.29099,0.57975,0.64676,0.60209,0.45525,1.08352,1.31095,1.41142,0.0008185,0.0008185,0.0008185
57,1420.56,0.98335,1.03636,1.29459,0.63066,0.59697,0.59004,0.4524,1.06433,1.40352,1.36749,0.0008152,0.0008152,0.0008152
58,1445.67,1.00121,1.03379,1.30883,0.63794,0.58616,0.60799,0.4689,1.08143,1.38428,1.39664,0.0008119,0.0008119,0.0008119
59,1469.81,0.97733,1.04423,1.29425,0.63318,0.61152,0.61142,0.4633,1.08156,1.28594,1.39887,0.0008086,0.0008086,0.0008086
60,1493.3,0.98521,1.01441,1.29225,0.67091,0.63344,0.63885,0.48992,1.09038,1.25726,1.41224,0.0008053,0.0008053,0.0008053
61,1519.27,0.96636,1.01097,1.29862,0.66516,0.59596,0.61114,0.46961,1.0939,1.32174,1.41011,0.000802,0.000802,0.000802
62,1544,1.00139,1.03735,1.3052,0.6255,0.59647,0.63138,0.48384,1.0822,1.32262,1.39233,0.0007987,0.0007987,0.0007987
63,1568.13,0.97754,0.99599,1.29001,0.64224,0.61389,0.63164,0.48318,1.0765,1.27193,1.41317,0.0007954,0.0007954,0.0007954
64,1592.22,0.95667,0.9815,1.27861,0.60851,0.63455,0.62347,0.47702,1.06294,1.27175,1.3885,0.0007921,0.0007921,0.0007921
65,1617.45,0.97722,0.97156,1.27894,0.69866,0.60063,0.63994,0.49522,1.06563,1.28313,1.39254,0.0007888,0.0007888,0.0007888
66,1644.07,0.95727,0.95704,1.27747,0.63161,0.65756,0.63219,0.48067,1.07613,1.23533,1.40783,0.0007855,0.0007855,0.0007855
67,1669.38,0.97832,0.97274,1.28655,0.63135,0.59252,0.62206,0.47698,1.08533,1.25426,1.39936,0.0007822,0.0007822,0.0007822
